"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vm1zl43","159","5","Yukikaze Mizuki","Taimanin Yukikaze","4","Tue, 14 Mar 2023 11:49:10 GMT","1678794550808","339","","","","No","No","fs","","17","0","4","375842448209084417","375842448209084417","707706551829397565","209","F","S","S","S","S","F","C","",""
"vmnxc10","12631","3","Honey","Nanbaka","3","Mon, 13 Mar 2023 22:08:55 GMT","1678745335736","67","","","","No","No","","","6","0","3","375842448209084417","375842448209084417","707706551829397565","38","F","S","S","S","A","F","D","",""
"vmndpw1","6080","4","Atalanta","Fate/Apocrypha","3","Mon, 13 Mar 2023 20:21:04 GMT","1678738864768","113","","","","No","No","","","19","0","3","375842448209084417","375842448209084417","707706551829397565","60","F","S","S","S","A","F","D","",""
"vmn77kd","6014","4","Megumi Tadokoro","Food Wars! Shokugeki no Souma","2","Mon, 13 Mar 2023 19:43:16 GMT","1678736596205","73","","","","No","No","fs","","101","0","2","375842448209084417","375842448209084417","707706551829397565","39","F","S","S","S","A","F","D","",""
"vmn7zsr","49918","1","Moe Fukuoka","Wanna be the Strongest in the World","2","Mon, 13 Mar 2023 19:02:19 GMT","1678734139605","4","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmnfc8c","6482","4","Aika Sakuranomiya","Blend S","2","Mon, 13 Mar 2023 17:39:24 GMT","1678729164645","43","","","","No","No","","","2","0","2","375842448209084417","375842448209084417","707706551829397565","24","F","S","S","S","B","F","D","",""
"vmnl25b","5791","4","Madara Uchiha","Naruto Shippuden","2","Mon, 13 Mar 2023 16:52:41 GMT","1678726361785","89","","","","No","No","fs","","1222","0","2","","375842448209084417","707706551829397565","40","F","S","S","F","F","F","D","",""
"vmnlv81","49926","1","Souta's Father","Plastic Memories","2","Mon, 13 Mar 2023 16:51:44 GMT","1678726304870","2","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","B","F","D","",""
"vmn4clc","50119","1","Housei Toki","Kiniro no Corda: Blue Sky","2","Mon, 13 Mar 2023 12:54:31 GMT","1678712071444","3","","","","No","No","b","","0","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmnkjvd","6119","4","Saitou Hajime","Fate/Grand Order","1","Mon, 13 Mar 2023 04:32:33 GMT","1678681953198","21","","","","No","No","","","4","0","1","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"vmjlbts","49780","1","Akai","Kite","0","Sun, 12 Mar 2023 17:38:50 GMT","1678642730895","1","","","","No","No","b","","1","0","0","375842448209084417","375842448209084417","707706551829397565","0","F","S","S","S","S","F","D","",""
"vmjpm2q","49800","1","Honoka Yukishiro","Precure","2","Sun, 12 Mar 2023 13:30:21 GMT","1678627821517","3","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","1","F","S","S","S","A","F","D","",""
"vmj19rt","49655","1","Alolan Raticate","Pokémon Sun & Moon","3","Sun, 12 Mar 2023 11:27:05 GMT","1678620425524","21","","","","No","No","b","","1","0","3","375842448209084417","375842448209084417","707706551829397565","13","F","S","S","S","A","F","D","",""
"vmjbzr5","20960","1","Yuki Himekawa","The iDOLM@STER: Cinderella Girls","2","Sun, 12 Mar 2023 08:31:06 GMT","1678609866797","8","","","","No","No","b","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
"vmjqfrn","49962","1","Georg","High School DxD Hero","2","Sun, 12 Mar 2023 03:03:27 GMT","1678590207823","7","","","","No","No","","","1","0","2","375842448209084417","375842448209084417","707706551829397565","4","F","S","S","S","A","F","D","",""
